,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,-2,0,STARFRUIT,4997,26,,,,,5003,26,,,,,5000.0,0.0
1,-2,100,STARFRUIT,5000,5,4998.0,6.0,4997.0,20.0,5004,20,,,,,5002.0,0.0
2,-2,200,STARFRUIT,4997,1,4996.0,30.0,,,5003,31,,,,,5000.0,0.0
3,-2,300,STARFRUIT,4996,27,,,,,5003,27,,,,,4999.5,0.0
4,-2,400,STARFRUIT,4995,20,,,,,5002,20,,,,,4998.5,0.0
5,-2,500,STARFRUIT,5001,1,4996.0,30.0,,,5003,30,,,,,5002.0,0.0
6,-2,600,STARFRUIT,4996,30,,,,,5003,30,,,,,4999.5,0.0
7,-2,700,STARFRUIT,4997,1,4996.0,27.0,,,5003,28,,,,,5000.0,0.0
8,-2,800,STARFRUIT,5002,1,4997.0,23.0,,,5003,2,5004.0,21.0,,,5002.5,0.0
9,-2,900,STARFRUIT,5001,2,4997.0,30.0,,,5004,30,,,,,5002.5,0.0
10,-2,1000,STARFRUIT,4997,2,4996.0,22.0,,,5001,8,5003.0,24.0,,,4999.0,0.0
11,-2,1100,STARFRUIT,4997,25,,,,,5002,3,5004.0,26.0,,,4999.5,0.0
12,-2,1200,STARFRUIT,4997,28,,,,,5003,1,5004.0,27.0,,,5000.0,0.0
13,-2,1300,STARFRUIT,5000,3,4997.0,23.0,,,5004,23,,,,,5002.0,0.0
14,-2,1400,STARFRUIT,4996,26,,,,,5001,2,5003.0,26.0,,,4998.5,0.0
15,-2,1500,STARFRUIT,4997,2,4996.0,25.0,,,5003,27,,,,,5000.0,0.0
16,-2,1600,STARFRUIT,4997,1,4996.0,23.0,,,5003,24,,,,,5000.0,0.0
17,-2,1700,STARFRUIT,4997,28,,,,,5002,2,5004.0,28.0,,,4999.5,0.0
18,-2,1800,STARFRUIT,4996,24,,,,,5001,1,5003.0,24.0,,,4998.5,0.0
19,-2,1900,STARFRUIT,5002,1,4997.0,1.0,4996.0,25.0,5003,26,,,,,5002.5,0.0
20,-2,2000,STARFRUIT,4996,31,,,,,5001,2,5003.0,31.0,,,4998.5,0.0
21,-2,2100,STARFRUIT,5001,4,4997.0,2.0,4996.0,20.0,5003,22,,,,,5002.0,0.0
22,-2,2200,STARFRUIT,4997,1,4996.0,25.0,,,5003,26,,,,,5000.0,0.0
23,-2,2300,STARFRUIT,4997,30,,,,,5003,2,5004.0,28.0,,,5000.0,0.0
24,-2,2400,STARFRUIT,4997,30,,,,,5004,30,,,,,5000.5,0.0
25,-2,2500,STARFRUIT,4996,21,,,,,5003,21,,,,,4999.5,0.0
26,-2,2600,STARFRUIT,4998,6,4997.0,22.0,,,5003,1,5004.0,21.0,,,5000.5,0.0
27,-2,2700,STARFRUIT,4998,27,,,,,5003,4,5004.0,1.0,5005.0,26.0,5000.5,0.0
28,-2,2800,STARFRUIT,4997,28,,,,,5004,28,,,,,5000.5,0.0
29,-2,2900,STARFRUIT,4996,30,,,,,5003,30,,,,,4999.5,0.0
30,-2,3000,STARFRUIT,4996,28,,,,,5002,2,5003.0,26.0,,,4999.0,0.0
31,-2,3100,STARFRUIT,5001,1,4997.0,1.0,4996.0,25.0,5003,25,,,,,5002.0,0.0
32,-2,3200,STARFRUIT,4996,28,,,,,5003,28,,,,,4999.5,0.0
33,-2,3300,STARFRUIT,4997,6,4996.0,20.0,,,5003,20,,,,,5000.0,0.0
34,-2,3400,STARFRUIT,4998,3,4997.0,23.0,,,5003,1,5004.0,22.0,,,5000.5,0.0
35,-2,3500,STARFRUIT,5002,1,4997.0,31.0,,,5004,31,,,,,5003.0,0.0
36,-2,3600,STARFRUIT,4997,26,,,,,5004,26,,,,,5000.5,0.0
37,-2,3700,STARFRUIT,4997,27,,,,,5004,27,,,,,5000.5,0.0
38,-2,3800,STARFRUIT,4998,2,4997.0,27.0,,,5004,27,,,,,5001.0,0.0
39,-2,3900,STARFRUIT,4997,26,,,,,5002,1,5003.0,1.0,5004.0,25.0,4999.5,0.0
40,-2,4000,STARFRUIT,4998,4,4997.0,27.0,,,5004,27,,,,,5001.0,0.0
41,-2,4100,STARFRUIT,4997,28,,,,,5002,5,5004.0,28.0,,,4999.5,0.0
42,-2,4200,STARFRUIT,4998,1,4997.0,23.0,,,5004,25,,,,,5001.0,0.0
43,-2,4300,STARFRUIT,4997,26,,,,,5004,26,,,,,5000.5,0.0
44,-2,4400,STARFRUIT,4997,29,,,,,5002,2,5003.0,1.0,5004.0,28.0,4999.5,0.0
45,-2,4500,STARFRUIT,4997,1,4996.0,29.0,,,5003,30,,,,,5000.0,0.0
