,day,timestamp,buyer,seller,symbol,currency,price,quantity
0,-2,0,,,AMETHYSTS,SEASHELLS,9996.0,1
2,-2,0,,,AMETHYSTS,SEASHELLS,9996.0,1
8,-2,1500,,,AMETHYSTS,SEASHELLS,10004.0,1
14,-2,2500,,,AMETHYSTS,SEASHELLS,9998.0,1
16,-2,3200,,,AMETHYSTS,SEASHELLS,9996.0,1
19,-2,3300,,,AMETHYSTS,SEASHELLS,9995.0,2
20,-2,3600,,,AMETHYSTS,SEASHELLS,10005.0,6
22,-2,4000,,,AMETHYSTS,SEASHELLS,9998.0,1
23,-2,4200,,,AMETHYSTS,SEASHELLS,10004.0,2
24,-2,4200,,,AMETHYSTS,SEASHELLS,10004.0,1
32,-2,6700,,,AMETHYSTS,SEASHELLS,9998.0,2
39,-2,7400,,,AMETHYSTS,SEASHELLS,10002.0,1
41,-2,7500,,,AMETHYSTS,SEASHELLS,10002.0,1
45,-2,8600,,,AMETHYSTS,SEASHELLS,10002.0,1
48,-2,8700,,,AMETHYSTS,SEASHELLS,10002.0,2
50,-2,8800,,,AMETHYSTS,SEASHELLS,10002.0,1
51,-2,9600,,,AMETHYSTS,SEASHELLS,10000.0,3
52,-2,10100,,,AMETHYSTS,SEASHELLS,9998.0,1
54,-2,10200,,,AMETHYSTS,SEASHELLS,9996.0,1
55,-2,11100,,,AMETHYSTS,SEASHELLS,10005.0,2
63,-2,13000,,,AMETHYSTS,SEASHELLS,9998.0,1
65,-2,13600,,,AMETHYSTS,SEASHELLS,9998.0,1
67,-2,13900,,,AMETHYSTS,SEASHELLS,9996.0,1
68,-2,13900,,,AMETHYSTS,SEASHELLS,9996.0,1
69,-2,14000,,,AMETHYSTS,SEASHELLS,10005.0,7
72,-2,15100,,,AMETHYSTS,SEASHELLS,10005.0,4
73,-2,15400,,,AMETHYSTS,SEASHELLS,10002.0,5
77,-2,17300,,,AMETHYSTS,SEASHELLS,10002.0,1
81,-2,18200,,,AMETHYSTS,SEASHELLS,9998.0,1
83,-2,18300,,,AMETHYSTS,SEASHELLS,10005.0,2
84,-2,18300,,,AMETHYSTS,SEASHELLS,9998.0,1
86,-2,18500,,,AMETHYSTS,SEASHELLS,10005.0,5
90,-2,19500,,,AMETHYSTS,SEASHELLS,10002.0,1
91,-2,19600,,,AMETHYSTS,SEASHELLS,10002.0,1
92,-2,19900,,,AMETHYSTS,SEASHELLS,10002.0,1
93,-2,20200,,,AMETHYSTS,SEASHELLS,10002.0,1
95,-2,20600,,,AMETHYSTS,SEASHELLS,9998.0,1
96,-2,20600,,,AMETHYSTS,SEASHELLS,9995.0,9
98,-2,20900,,,AMETHYSTS,SEASHELLS,9998.0,1
99,-2,21300,,,AMETHYSTS,SEASHELLS,10002.0,1
104,-2,22700,,,AMETHYSTS,SEASHELLS,9998.0,1
106,-2,23000,,,AMETHYSTS,SEASHELLS,9998.0,4
108,-2,23300,,,AMETHYSTS,SEASHELLS,9998.0,2
109,-2,23900,,,AMETHYSTS,SEASHELLS,9998.0,3
110,-2,23900,,,AMETHYSTS,SEASHELLS,9995.0,8
113,-2,24300,,,AMETHYSTS,SEASHELLS,10002.0,1
115,-2,24600,,,AMETHYSTS,SEASHELLS,9996.0,2
116,-2,24600,,,AMETHYSTS,SEASHELLS,9996.0,2
119,-2,25100,,,AMETHYSTS,SEASHELLS,10002.0,1
122,-2,25600,,,AMETHYSTS,SEASHELLS,10004.0,2
123,-2,25700,,,AMETHYSTS,SEASHELLS,10002.0,3
124,-2,25700,,,AMETHYSTS,SEASHELLS,10002.0,8
127,-2,26400,,,AMETHYSTS,SEASHELLS,10005.0,9
129,-2,27000,,,AMETHYSTS,SEASHELLS,10002.0,1
133,-2,27700,,,AMETHYSTS,SEASHELLS,9998.0,3
134,-2,27700,,,AMETHYSTS,SEASHELLS,9998.0,1
135,-2,27900,,,AMETHYSTS,SEASHELLS,10002.0,4
137,-2,28000,,,AMETHYSTS,SEASHELLS,10005.0,1
139,-2,28300,,,AMETHYSTS,SEASHELLS,9998.0,2
140,-2,28300,,,AMETHYSTS,SEASHELLS,9998.0,1
141,-2,28600,,,AMETHYSTS,SEASHELLS,9998.0,1
142,-2,29400,,,AMETHYSTS,SEASHELLS,10005.0,2
144,-2,29500,,,AMETHYSTS,SEASHELLS,9998.0,3
145,-2,29500,,,AMETHYSTS,SEASHELLS,9998.0,2
149,-2,30400,,,AMETHYSTS,SEASHELLS,10004.0,1
150,-2,30400,,,AMETHYSTS,SEASHELLS,10004.0,6
152,-2,31000,,,AMETHYSTS,SEASHELLS,9996.0,1
156,-2,31300,,,AMETHYSTS,SEASHELLS,9998.0,1
158,-2,31600,,,AMETHYSTS,SEASHELLS,10002.0,3
159,-2,31800,,,AMETHYSTS,SEASHELLS,10002.0,1
161,-2,32100,,,AMETHYSTS,SEASHELLS,10002.0,4
162,-2,32500,,,AMETHYSTS,SEASHELLS,10002.0,1
166,-2,32800,,,AMETHYSTS,SEASHELLS,9995.0,2
167,-2,32800,,,AMETHYSTS,SEASHELLS,9996.0,2
171,-2,33500,,,AMETHYSTS,SEASHELLS,10002.0,3
174,-2,34000,,,AMETHYSTS,SEASHELLS,9998.0,1
175,-2,34100,,,AMETHYSTS,SEASHELLS,10002.0,1
178,-2,35600,,,AMETHYSTS,SEASHELLS,10002.0,1
182,-2,36300,,,AMETHYSTS,SEASHELLS,10005.0,1
183,-2,36500,,,AMETHYSTS,SEASHELLS,10005.0,4
186,-2,37400,,,AMETHYSTS,SEASHELLS,10002.0,1
187,-2,37900,,,AMETHYSTS,SEASHELLS,9995.0,4
189,-2,38400,,,AMETHYSTS,SEASHELLS,10004.0,2
190,-2,38500,,,AMETHYSTS,SEASHELLS,10002.0,6
194,-2,38900,,,AMETHYSTS,SEASHELLS,9995.0,2
195,-2,39100,,,AMETHYSTS,SEASHELLS,10002.0,5
197,-2,39300,,,AMETHYSTS,SEASHELLS,9996.0,1
209,-2,41500,,,AMETHYSTS,SEASHELLS,10002.0,1
210,-2,41500,,,AMETHYSTS,SEASHELLS,10000.0,2
211,-2,41600,,,AMETHYSTS,SEASHELLS,9995.0,1
213,-2,42900,,,AMETHYSTS,SEASHELLS,10002.0,1
217,-2,43100,,,AMETHYSTS,SEASHELLS,10005.0,2
218,-2,43400,,,AMETHYSTS,SEASHELLS,10002.0,1
220,-2,43700,,,AMETHYSTS,SEASHELLS,9998.0,1
223,-2,43900,,,AMETHYSTS,SEASHELLS,10004.0,2
224,-2,44000,,,AMETHYSTS,SEASHELLS,9998.0,1
226,-2,44800,,,AMETHYSTS,SEASHELLS,9996.0,1
228,-2,45100,,,AMETHYSTS,SEASHELLS,9996.0,1
229,-2,45800,,,AMETHYSTS,SEASHELLS,9996.0,1
230,-2,45800,,,AMETHYSTS,SEASHELLS,9996.0,10
231,-2,46200,,,AMETHYSTS,SEASHELLS,9998.0,1
232,-2,46300,,,AMETHYSTS,SEASHELLS,9995.0,1
234,-2,46800,,,AMETHYSTS,SEASHELLS,9996.0,1
241,-2,48300,,,AMETHYSTS,SEASHELLS,9995.0,1
242,-2,48600,,,AMETHYSTS,SEASHELLS,10004.0,1
247,-2,49300,,,AMETHYSTS,SEASHELLS,10005.0,1
249,-2,49700,,,AMETHYSTS,SEASHELLS,9995.0,2
253,-2,50200,,,AMETHYSTS,SEASHELLS,9996.0,1
255,-2,50400,,,AMETHYSTS,SEASHELLS,9996.0,2
257,-2,50900,,,AMETHYSTS,SEASHELLS,9996.0,2
258,-2,51000,,,AMETHYSTS,SEASHELLS,9998.0,1
261,-2,51600,,,AMETHYSTS,SEASHELLS,10002.0,1
263,-2,51900,,,AMETHYSTS,SEASHELLS,10002.0,2
264,-2,52000,,,AMETHYSTS,SEASHELLS,9998.0,2
267,-2,52700,,,AMETHYSTS,SEASHELLS,10002.0,3
268,-2,53000,,,AMETHYSTS,SEASHELLS,9998.0,1
269,-2,53200,,,AMETHYSTS,SEASHELLS,10002.0,1
270,-2,53300,,,AMETHYSTS,SEASHELLS,9998.0,2
271,-2,53600,,,AMETHYSTS,SEASHELLS,9998.0,1
274,-2,53700,,,AMETHYSTS,SEASHELLS,10004.0,2
275,-2,53900,,,AMETHYSTS,SEASHELLS,10002.0,1
277,-2,54300,,,AMETHYSTS,SEASHELLS,9998.0,1
278,-2,54600,,,AMETHYSTS,SEASHELLS,9996.0,1
279,-2,54600,,,AMETHYSTS,SEASHELLS,9996.0,5
282,-2,54900,,,AMETHYSTS,SEASHELLS,10002.0,3
286,-2,56100,,,AMETHYSTS,SEASHELLS,10004.0,1
289,-2,56500,,,AMETHYSTS,SEASHELLS,9998.0,1
290,-2,56700,,,AMETHYSTS,SEASHELLS,10002.0,1
291,-2,57000,,,AMETHYSTS,SEASHELLS,10004.0,1
293,-2,57100,,,AMETHYSTS,SEASHELLS,10002.0,1
296,-2,57200,,,AMETHYSTS,SEASHELLS,10002.0,1
297,-2,57300,,,AMETHYSTS,SEASHELLS,10002.0,1
299,-2,57700,,,AMETHYSTS,SEASHELLS,10002.0,2
303,-2,58400,,,AMETHYSTS,SEASHELLS,9996.0,1
304,-2,58600,,,AMETHYSTS,SEASHELLS,9998.0,1
308,-2,59500,,,AMETHYSTS,SEASHELLS,10005.0,4
309,-2,59700,,,AMETHYSTS,SEASHELLS,10002.0,6
313,-2,60200,,,AMETHYSTS,SEASHELLS,9996.0,1
314,-2,60200,,,AMETHYSTS,SEASHELLS,9996.0,1
317,-2,60300,,,AMETHYSTS,SEASHELLS,9996.0,6
318,-2,60300,,,AMETHYSTS,SEASHELLS,9996.0,2
319,-2,60400,,,AMETHYSTS,SEASHELLS,9998.0,1
321,-2,60500,,,AMETHYSTS,SEASHELLS,9998.0,1
324,-2,61100,,,AMETHYSTS,SEASHELLS,10002.0,1
326,-2,61100,,,AMETHYSTS,SEASHELLS,10005.0,2
328,-2,62300,,,AMETHYSTS,SEASHELLS,10004.0,1
336,-2,63200,,,AMETHYSTS,SEASHELLS,9998.0,1
339,-2,63300,,,AMETHYSTS,SEASHELLS,9998.0,1
340,-2,63500,,,AMETHYSTS,SEASHELLS,9998.0,6
341,-2,63700,,,AMETHYSTS,SEASHELLS,9996.0,1
343,-2,64200,,,AMETHYSTS,SEASHELLS,9995.0,2
346,-2,64500,,,AMETHYSTS,SEASHELLS,10005.0,2
347,-2,64500,,,AMETHYSTS,SEASHELLS,10002.0,1
349,-2,64900,,,AMETHYSTS,SEASHELLS,10005.0,2
350,-2,65300,,,AMETHYSTS,SEASHELLS,9998.0,1
351,-2,65300,,,AMETHYSTS,SEASHELLS,10000.0,2
353,-2,65500,,,AMETHYSTS,SEASHELLS,9998.0,1
354,-2,65600,,,AMETHYSTS,SEASHELLS,9995.0,1
356,-2,65800,,,AMETHYSTS,SEASHELLS,9996.0,1
358,-2,65900,,,AMETHYSTS,SEASHELLS,9998.0,1
359,-2,66000,,,AMETHYSTS,SEASHELLS,9998.0,1
361,-2,66700,,,AMETHYSTS,SEASHELLS,9998.0,2
364,-2,67400,,,AMETHYSTS,SEASHELLS,9996.0,1
368,-2,67900,,,AMETHYSTS,SEASHELLS,9998.0,2
370,-2,68000,,,AMETHYSTS,SEASHELLS,10002.0,5
371,-2,68000,,,AMETHYSTS,SEASHELLS,10005.0,3
372,-2,68100,,,AMETHYSTS,SEASHELLS,10002.0,1
374,-2,68500,,,AMETHYSTS,SEASHELLS,10002.0,1
376,-2,68900,,,AMETHYSTS,SEASHELLS,10002.0,1
380,-2,69300,,,AMETHYSTS,SEASHELLS,10005.0,2
389,-2,71600,,,AMETHYSTS,SEASHELLS,9995.0,10
393,-2,74100,,,AMETHYSTS,SEASHELLS,10002.0,1
395,-2,74400,,,AMETHYSTS,SEASHELLS,10004.0,1
396,-2,74900,,,AMETHYSTS,SEASHELLS,10002.0,1
399,-2,75200,,,AMETHYSTS,SEASHELLS,9996.0,1
402,-2,76400,,,AMETHYSTS,SEASHELLS,10002.0,1
406,-2,77700,,,AMETHYSTS,SEASHELLS,9998.0,5
409,-2,78000,,,AMETHYSTS,SEASHELLS,10002.0,2
411,-2,78300,,,AMETHYSTS,SEASHELLS,9995.0,2
414,-2,79000,,,AMETHYSTS,SEASHELLS,10005.0,2
416,-2,79000,,,AMETHYSTS,SEASHELLS,10004.0,1
417,-2,79500,,,AMETHYSTS,SEASHELLS,10002.0,1
420,-2,80300,,,AMETHYSTS,SEASHELLS,10002.0,1
422,-2,80800,,,AMETHYSTS,SEASHELLS,10002.0,1
423,-2,81300,,,AMETHYSTS,SEASHELLS,9998.0,1
