,day,timestamp,buyer,seller,symbol,currency,price,quantity
1,-2,0,,,STARFRUIT,SEASHELLS,5003.0,1
3,-2,100,,,STARFRUIT,SEASHELLS,5004.0,6
4,-2,900,,,STARFRUIT,SEASHELLS,5001.0,2
5,-2,1000,,,STARFRUIT,SEASHELLS,4997.0,2
6,-2,1100,,,STARFRUIT,SEASHELLS,4997.0,1
7,-2,1500,,,STARFRUIT,SEASHELLS,5003.0,1
9,-2,1800,,,STARFRUIT,SEASHELLS,5001.0,10
10,-2,1800,,,STARFRUIT,SEASHELLS,5001.0,1
11,-2,1800,,,STARFRUIT,SEASHELLS,5002.0,1
12,-2,2000,,,STARFRUIT,SEASHELLS,5002.0,1
13,-2,2100,,,STARFRUIT,SEASHELLS,5001.0,4
15,-2,2500,,,STARFRUIT,SEASHELLS,4996.0,11
17,-2,3200,,,STARFRUIT,SEASHELLS,4996.0,1
18,-2,3300,,,STARFRUIT,SEASHELLS,4997.0,2
21,-2,3900,,,STARFRUIT,SEASHELLS,5002.0,1
25,-2,4200,,,STARFRUIT,SEASHELLS,4998.0,1
26,-2,4400,,,STARFRUIT,SEASHELLS,5002.0,2
27,-2,4500,,,STARFRUIT,SEASHELLS,4997.0,8
28,-2,4500,,,STARFRUIT,SEASHELLS,4997.0,1
29,-2,5800,,,STARFRUIT,SEASHELLS,4999.0,7
30,-2,6500,,,STARFRUIT,SEASHELLS,5000.0,5
31,-2,6600,,,STARFRUIT,SEASHELLS,4999.0,1
33,-2,6700,,,STARFRUIT,SEASHELLS,4998.0,2
34,-2,6700,,,STARFRUIT,SEASHELLS,4999.0,4
35,-2,7100,,,STARFRUIT,SEASHELLS,4999.0,5
36,-2,7200,,,STARFRUIT,SEASHELLS,5005.0,4
37,-2,7300,,,STARFRUIT,SEASHELLS,4998.0,1
38,-2,7400,,,STARFRUIT,SEASHELLS,5005.0,1
40,-2,7400,,,STARFRUIT,SEASHELLS,5003.0,1
42,-2,7800,,,STARFRUIT,SEASHELLS,5002.0,1
43,-2,7800,,,STARFRUIT,SEASHELLS,5002.0,1
44,-2,8600,,,STARFRUIT,SEASHELLS,5004.0,1
46,-2,8700,,,STARFRUIT,SEASHELLS,5002.0,9
47,-2,8700,,,STARFRUIT,SEASHELLS,5004.0,2
49,-2,8800,,,STARFRUIT,SEASHELLS,5003.0,1
53,-2,10200,,,STARFRUIT,SEASHELLS,4996.0,1
56,-2,11100,,,STARFRUIT,SEASHELLS,5005.0,12
57,-2,11100,,,STARFRUIT,SEASHELLS,5005.0,2
58,-2,11300,,,STARFRUIT,SEASHELLS,4998.0,1
59,-2,11400,,,STARFRUIT,SEASHELLS,4997.0,1
60,-2,12000,,,STARFRUIT,SEASHELLS,4999.0,2
61,-2,12000,,,STARFRUIT,SEASHELLS,4999.0,2
62,-2,13000,,,STARFRUIT,SEASHELLS,5001.0,2
64,-2,13500,,,STARFRUIT,SEASHELLS,4998.0,1
66,-2,13900,,,STARFRUIT,SEASHELLS,4998.0,2
70,-2,14300,,,STARFRUIT,SEASHELLS,4998.0,1
71,-2,15000,,,STARFRUIT,SEASHELLS,4998.0,1
74,-2,16400,,,STARFRUIT,SEASHELLS,4998.0,6
75,-2,17000,,,STARFRUIT,SEASHELLS,5003.0,9
76,-2,17200,,,STARFRUIT,SEASHELLS,4996.0,1
78,-2,17400,,,STARFRUIT,SEASHELLS,5003.0,10
79,-2,18000,,,STARFRUIT,SEASHELLS,5002.0,4
80,-2,18100,,,STARFRUIT,SEASHELLS,4996.0,1
82,-2,18200,,,STARFRUIT,SEASHELLS,4996.0,8
85,-2,18300,,,STARFRUIT,SEASHELLS,5000.0,2
87,-2,18600,,,STARFRUIT,SEASHELLS,4996.0,1
88,-2,19200,,,STARFRUIT,SEASHELLS,4996.0,1
89,-2,19400,,,STARFRUIT,SEASHELLS,4996.0,1
94,-2,20300,,,STARFRUIT,SEASHELLS,5002.0,1
97,-2,20900,,,STARFRUIT,SEASHELLS,5002.0,1
100,-2,21300,,,STARFRUIT,SEASHELLS,5002.0,1
101,-2,21400,,,STARFRUIT,SEASHELLS,5001.0,1
102,-2,21800,,,STARFRUIT,SEASHELLS,5001.0,1
103,-2,22300,,,STARFRUIT,SEASHELLS,4997.0,1
105,-2,22900,,,STARFRUIT,SEASHELLS,4998.0,2
107,-2,23100,,,STARFRUIT,SEASHELLS,5001.0,1
111,-2,24000,,,STARFRUIT,SEASHELLS,5001.0,3
